SAMPLE_NO,STATION_NO,STN_NO_NM_LOC,Station Type,SAMPLE_DATETIME,SAMPLE_DATETIME,M_LATITUDE,LONGITUDE,M_LONGITUDE,Secchi Flag,secchi.m,Chloro Flag,chla.ug.L,TP Flag,TP.mg.L,Ammonia flag,Ammonia (NH3-N) mg/L,NO2NO3 flag,Nitrate+Nitrite (NO3+NO2 -N) mg/L,Nitrate flag,Nitrate (NO3 -N) mg/L,Nitrite flag,Nitrite (NO2 -N) mg/L,TKN flag,Total Kjeldahl Nitrogen (TKN)  mg/L,TN.mg.L,TP(mg/L),TN:TP,MC,1.0 m Water Temp DegC,Perimeter (km),Surface area (km2),Volume (million m3),Maximum depth (m),Mean depth (m),Drainage basin area (km2),mean annual inflow (million m3),< or > ,Water residence time (yrs),Watershed vs lake surface area ratio,Natural region,Sub-region,Physiographic Regions
06SWE02743               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2006,12-Oct-06 11:15,54.529720,-110.354440,110.354440,,2.4,,10.3,,0.036,,0.026,,0.008,,,,0.002,,0.68,0.688,,,0.07,9.56,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE00783               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,27-May-08 12:30,54.529720,-110.354440,110.354440,,2.1,,5.17,,0.028,,0.011,L,0.005,,,,0.001,,0.59,0.595,,,0.07,13.22,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE01187               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,24-Jun-08 11:15,54.529720,-110.354440,110.354440,,5.5,,3.4,,0.024,,0.015,L,0.005,,,,0.002,,0.52,0.525,,,0.07,19.4,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE01519               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,15-Jul-08 12:45,54.529720,-110.354440,110.354440,,3.5,,3.31,,0.03,,0.009,,0.013,,,L,0.001,,0.66,0.673,,,0.07,20.64,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE01811               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,06-Aug-08 12:00,54.529720,-110.354440,110.354440,,3.7,,4.33,,0.017,,0.009,L,0.005,,,L,0.001,,0.66,0.665,,,0.07,19.88,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE02229               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,25-Aug-08 12:30,54.529720,-110.354440,110.354440,,2.5,,9.33,,0.021,,0.008,L,0.005,,,L,0.001,,0.78,0.785,,,0.07,19.7,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE02662               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,18-Sep-08 13:00,54.529720,-110.354440,110.354440,,3.1,,6.18,,0.021,,0.017,L,0.005,,,L,0.001,,0.68,0.685,,,0.1,15.09,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE03671               ,AB06AC0620,ETHEL LAKE (NEAR COLD LAKE) - COMPOSITE (AB06AC0620),Lake,2008,15-Oct-08 12:10,54.529720,-110.354440,110.354440,,3,,4.84,,0.029,,0.043,,0.005,,,,0.001,,0.74,0.745,,,0.09,9.24,11.18,4.90,32.2,30,6.6,542.00,13.1,,2.5,110.61,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08646               ,AB05ED1510,FISHING LAKE COMPOSITE,Lake,2005,30-Jul-05 10:20,53.918060,-110.187780,110.187780,,1.6,,,,0.037,,0.016,L,0.005,,,L,0.001,,1.21,1.215,,,0.08,20.30,21.20,6.85,,,,242.38,,,,35.38,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE09135               ,AB05ED1510,FISHING LAKE COMPOSITE,Lake,2005,29-Aug-05 13:00,53.918060,-110.187780,110.187780,,1.1,,32.9,,0.018,,0.008,,0.005,,,L,0.001,,1.18,1.185,,,0.09,18.11,21.20,6.85,,,,242.38,,,,35.38,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08168               ,AB05ED1510,FISHING LAKE COMPOSITE,Lake,2006,06-Jul-06 08:27,53.918060,-110.187780,110.187780,,2.25,,12.1,,0.031,,0.074,L,0.005,,,,,,1.32,1.325,,,0.55,23.66,21.20,6.85,,,,242.38,,,,35.38,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08459               ,AB05ED1510,FISHING LAKE COMPOSITE,Lake,2006,27-Jul-06 14:27,53.918060,-110.187780,110.187780,,1.25,,10.7,,0.029,,0.02,L,0.005,,,,,,1.34,1.345,,,0.07,24.56,21.20,6.85,,,,242.38,,,,35.38,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08871               ,AB05ED1510,FISHING LAKE COMPOSITE,Lake,2006,07-Sep-06 12:44,53.918060,-110.187780,110.187780,,1.5,,15.5,,0.019,,0.017,L,0.005,,,,,,1.16,1.165,,,0.13,18.68,21.20,6.85,,,,242.38,,,,35.38,Boreal,Central Mixedwood,Eastern Alberta Plains
09SWE08172               ,AB07GE1060,FLYINGSHOT LAKE - COMPOSITE (AB07GE1060),Lake,2009,17-Jun-09 08:15,55.141520,-118.862440,118.862440,,1.4,,155,,0.301,,0.07,,0.005,,,,,,2.06,2.065,,,0.08,19.64,5.17,1.30,,,,,,,,,Parkland,Peace River Parkland,Southern Alberta Uplands
09SWE08341               ,AB07GE1060,FLYINGSHOT LAKE - COMPOSITE (AB07GE1060),Lake,2009,15-Jul-09 09:30,55.141520,-118.862440,118.862440,,0.9,,47.4,,0.278,,0.032,,0.231,,,,,,2.85,3.081,,,0.71,17.31,5.17,1.30,,,,,,,,,Parkland,Peace River Parkland,Southern Alberta Uplands
09SWE08493               ,AB07GE1060,FLYINGSHOT LAKE - COMPOSITE (AB07GE1060),Lake,2009,04-Aug-09 08:55,55.141520,-118.862440,118.862440,,1.3,,52.6,,0.4,,0.27,,0.009,,,,,,3.82,3.829,,,0.21,18.83,5.17,1.30,,,,,,,,,Parkland,Peace River Parkland,Southern Alberta Uplands
09SWE08643               ,AB07GE1060,FLYINGSHOT LAKE - COMPOSITE (AB07GE1060),Lake,2009,25-Aug-09 09:05,55.141520,-118.862440,118.862440,,1.2,,8.65,,0.258,,0.052,,0.022,,,,,,3.24,3.262,,,1.19,15.89,5.17,1.30,,,,,,,,,Parkland,Peace River Parkland,Southern Alberta Uplands
05SWE08027               ,AB06AA1050,FORK LAKE COMPOSITE,Lake,2005,08-Jun-05 10:45,54.489170,-111.585560,111.585560,,2.9,,5.8,,0.032,,0.018,,0.016,,,L,0.001,,1.51,1.526,,,0.07,15.96,40.65,13.90,,15.2,6.1,71.08,,,,5.11,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08256               ,AB06AA1050,FORK LAKE COMPOSITE,Lake,2005,27-Jun-05 14:00,54.489170,-111.585560,111.585560,,2.7,,12.2,,0.044,,0.109,,0.01,,,L,0.001,,1.65,1.66,,,0.07,17.61,40.65,13.90,,15.2,6.1,71.08,,,,5.11,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08530               ,AB06AA1050,FORK LAKE COMPOSITE,Lake,2005,19-Jul-05 12:30,54.489170,-111.585560,111.585560,,1.25,,24.9,,0.042,,0.015,L,0.005,,,L,0.001,,1.71,1.715,,,0.07,19.12,40.65,13.90,,15.2,6.1,71.08,,,,5.11,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08899               ,AB06AA1050,FORK LAKE COMPOSITE,Lake,2005,09-Aug-05 12:45,54.489170,-111.585560,111.585560,,2,,28.6,,0.048,,0.048,,0.01,,,L,0.001,,1.69,1.7,,,0.07,19.03,40.65,13.90,,15.2,6.1,71.08,,,,5.11,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE09177               ,AB06AA1050,FORK LAKE COMPOSITE,Lake,2005,01-Sep-05 13:00,54.489170,-111.585560,111.585560,,1.5,,25.2,,0.046,,0.014,,0.006,,,,0.003,,1.8,1.806,,,0.08,17.00,40.65,13.90,,15.2,6.1,71.08,,,,5.11,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE09317               ,AB06AA1050,FORK LAKE COMPOSITE,Lake,2005,20-Sep-05 14:30,54.489170,-111.585560,111.585560,,1.9,,24.7,,0.048,,0.02,,0.009,,,,0.004,,1.78,1.789,,,0.07,13.32,40.65,13.90,,15.2,6.1,71.08,,,,5.11,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08660               ,AB05ED0161,FROG LAKE - COMPOSITE (AB05ED0161),Lake,2005,30-Jul-05 14:30,53.892220,-110.341670,110.341670,,3.5,,5,,0.023,,0.014,L,0.005,,,L,0.001,,1.16,1.165,,,0.10,20.15,51.78,58.00,,28,,613.00,,,,10.57,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE09107               ,AB05ED0161,FROG LAKE - COMPOSITE (AB05ED0161),Lake,2005,29-Aug-05 09:30,53.892220,-110.341670,110.341670,,3,,6.4,,0.043,,0.015,,0.005,,,L,0.001,,1.42,1.425,,,0.08,16.49,51.78,58.00,,28,,613.00,,,,10.57,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08179               ,AB05ED0161,FROG LAKE - COMPOSITE (AB05ED0161),Lake,2006,06-Jul-06 13:36,53.892220,-110.341670,110.341670,,2.25,,4.37,,0.037,,0.004,L,0.005,,,,,,1.32,1.325,,,0.07,22.40,51.78,58.00,,28,,613.00,,,,10.57,Boreal,Central Mixedwood,Eastern Alberta Plains
06SWE08844               ,AB05ED0161,FROG LAKE - COMPOSITE (AB05ED0161),Lake,2006,07-Sep-06 08:55,53.892220,-110.341670,110.341670,,2.75,,3.37,,0.035,,0.019,L,0.005,,,,,,1.24,1.245,,,0.07,17.83,51.78,58.00,,28,,613.00,,,,10.57,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08133               ,AB06AC1190,GARNIER LAKE - NORTH BASIN - COMPOSITE (AB06AC1190),Lake,2005,16-Jun-05 07:30,54.020720,-110.581810,110.581810,,4.6,,3.9,,0.02,,0.028,L,0.005,,,L,0.001,,1.58,1.585,,,0.10,17.96,6.59,5.20,,9,,,,,,,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08373               ,AB06AC1190,GARNIER LAKE - NORTH BASIN - COMPOSITE (AB06AC1190),Lake,2005,07-Jul-05 07:40,54.020720,-110.581810,110.581810,,4.2,,2.9,,0.019,,0.016,,0.005,,,L,0.001,,1.61,1.615,,,0.13,21.67,6.59,5.20,,9,,,,,,,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08579               ,AB06AC1190,GARNIER LAKE - NORTH BASIN - COMPOSITE (AB06AC1190),Lake,2005,28-Jul-05 07:30,54.020720,-110.581810,110.581810,,3.5,,3,,0.018,,0.019,L,0.005,,,L,0.001,,1.47,1.475,,,0.12,19.12,6.59,5.20,,9,,,,,,,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08912               ,AB06AC1190,GARNIER LAKE - NORTH BASIN - COMPOSITE (AB06AC1190),Lake,2005,18-Aug-05 07:45,54.020720,-110.581810,110.581810,,2.7,,5.1,,0.022,,0.005,L,0.005,,,L,0.001,,1.56,1.565,,,0.14,15.99,6.59,5.20,,9,,,,,,,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE09220               ,AB06AC1190,GARNIER LAKE - NORTH BASIN - COMPOSITE (AB06AC1190),Lake,2005,08-Sep-05 08:00,54.020720,-110.581810,110.581810,,3.5,,3.6,,0.021,,0.017,L,0.005,,,L,0.001,,1.48,1.485,,,0.09,16.64,6.59,5.20,,9,,,,,,,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08145               ,AB06AC1240,GARNIER LAKE (BLUET) - SOUTH BASIN - COMPOSITE (AB06AC1240),Lake,2005,16-Jun-05 09:15,53.518060,-114.226940,114.226940,,1.4,,14.4,,0.035,,0.015,L,0.005,,,L,0.001,,2,2.005,,,0.11,18.26,2.18,1.21,,6.5,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08385               ,AB06AC1240,GARNIER LAKE (BLUET) - SOUTH BASIN - COMPOSITE (AB06AC1240),Lake,2005,07-Jul-05 09:00,53.518060,-114.226940,114.226940,,2.8,,6.5,,0.025,,0.018,,0.005,,,L,0.001,,2.02,2.025,,,0.07,21.54,2.18,1.21,,6.5,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08591               ,AB06AC1240,GARNIER LAKE (BLUET) - SOUTH BASIN - COMPOSITE (AB06AC1240),Lake,2005,28-Jul-05 09:00,53.518060,-114.226940,114.226940,,3.2,,4.7,,0.025,,0.025,L,0.005,,,L,0.001,,1.77,1.775,,,0.11,18.90,2.18,1.21,,6.5,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE08924               ,AB06AC1240,GARNIER LAKE (BLUET) - SOUTH BASIN - COMPOSITE (AB06AC1240),Lake,2005,18-Aug-05 09:00,53.518060,-114.226940,114.226940,,2.4,,10.2,,0.034,,0.021,,0.005,,,L,0.001,,1.93,1.935,,,0.10,15.91,2.18,1.21,,6.5,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
05SWE09231               ,AB06AC1240,GARNIER LAKE (BLUET) - SOUTH BASIN - COMPOSITE (AB06AC1240),Lake,2005,08-Sep-05 09:30,53.518060,-114.226940,114.226940,,2,,9.6,,0.033,,0.02,,0.007,,,L,0.001,,1.88,1.887,,,0.10,16.81,2.18,1.21,,6.5,,,,,,,Boreal,Dry Mixedwood,Eastern Alberta Plains
07SWE08136               ,AB07FD1410,GEORGE LAKE - COMPOSITE (AB07FD1410),Lake,2007,12-Jul-07 16:30,56.223060,-118.550560,118.550560,,0.9,,16,,0.096,,0.037,,,,,,,,1.63,,,,1.09,24.54,-,,,,,,,,,,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE08193               ,AB07FD1410,GEORGE LAKE - COMPOSITE (AB07FD1410),Lake,2007,01-Aug-07 07:15,56.223060,-118.550560,118.550560,,0.6,,153,,0.197,,0.036,L,0.005,,,,,,3.12,3.125,0.197,15.86294416,45.98,17.44,-,,,,,,,,,,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE08209               ,AB07FD1410,GEORGE LAKE - COMPOSITE (AB07FD1410),Lake,2007,23-Aug-07 08:45,56.223060,-118.550560,118.550560,,1,,57.8,,0.134,,0.032,,,,,,,,2.6,,0.134,0,21.82,15.78,-,,,,,,,,,,Boreal,Dry Mixedwood,Northern Alberta Lowlands
07SWE08266               ,AB07FD1410,GEORGE LAKE - COMPOSITE (AB07FD1410),Lake,2007,18-Sep-07 17:00,56.223060,-118.550560,118.550560,,0.65,,94.3,,0.162,,0.036,,0.006,,,,,,2.94,2.946,0.162,18.18518519,19.31,11.21,-,,,,,,,,,,Boreal,Dry Mixedwood,Northern Alberta Lowlands
06SWE01573               ,AB05CB0385,GLENIFFER LAKE (DICKSON RESERVOIR) WHOLE LAKE COMP,Reservoir,2006,27-Jul-06 12:00,52.029440,-114.264170,114.264170,,3.95,,0.77,,0.004,,0.133,,0.021,,0.021,L,0.002,,0.18,0.201,,,0.08,22.32,-,17.60,205,33,11.6,5610.00,1090,,0.2,318.75,Boreal,Dry Mixedwood,Western Alberta Plains
06SWE01876               ,AB05CB0385,GLENIFFER LAKE (DICKSON RESERVOIR) WHOLE LAKE COMP,Reservoir,2006,22-Aug-06 10:45,52.029440,-114.264170,114.264170,,2.9,,0.91,,0.004,L,0.005,,0.022,,0.022,,0.002,L,0.2,0.222,,,0.16,,-,17.60,205,33,11.6,5610.00,1090,,0.2,318.75,Boreal,Dry Mixedwood,Western Alberta Plains
06SWE02319               ,AB05CB0385,GLENIFFER LAKE (DICKSON RESERVOIR) WHOLE LAKE COMP,Reservoir,2006,19-Sep-06 11:45,52.029440,-114.264170,114.264170,,2.9,,1.27,,0.006,,0.01,,0.022,,0.022,L,0.002,,0.13,0.152,,,0.13,14.39,-,17.60,205,33,11.6,5610.00,1090,,0.2,318.75,Boreal,Dry Mixedwood,Western Alberta Plains
05SWE08334               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2005,03-Jul-05 10:40,54.317500,-115.114170,115.114170,,2.1,,15.1,,0.061,,0.037,,0.011,,,,0.005,,1.05,1.061,,,0.10,17.33,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE08824               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2005,06-Aug-05 09:50,54.317500,-115.114170,115.114170,,0.7,,52.7,,0.138,,0.089,,0.012,,,,0.001,,1.63,1.642,,,0.07,19.44,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE09081               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2005,27-Aug-05 09:05,54.317500,-115.114170,115.114170,,0.75,,90.4,,0.153,,0.021,,0.006,,,L,0.001,,1.95,1.956,,,0.07,18.55,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE09350               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2005,25-Sep-05 10:00,54.317500,-115.114170,115.114170,,1.8,,44.1,,0.091,,0.062,,0.079,,,,0.005,,1.29,1.369,,,0.07,11.98,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE08186               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2008,24-Jun-08 09:35,54.317500,-115.114170,115.114170,,2.55,,10.2,,0.054,,0.056,L,0.005,,,,,,0.96,0.965,,,0.13,19.3,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE08279               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2008,14-Jul-08 09:30,54.317500,-115.114170,115.114170,,1.25,,19.2,,0.116,,0.02,,0.014,,,,,,1.13,1.144,,,0.07,18.73,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE08405               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2008,11-Aug-08 09:10,54.317500,-115.114170,115.114170,,1.25,,47.7,,0.1,,0.017,,0.006,,,,,,1.49,1.496,,,0.07,21.06,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE11645               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2008,09-Sep-08 09:55,54.317500,-115.114170,115.114170,,1.25,,38.8,,0.155,,0.065,,0.025,,,,,,1.36,1.385,,,0.14,15.03,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
08SWE11732               ,AB07AH0490,GOOSE LAKE - COMPOSITE (AB07AH0490),Lake,2008,28-Sep-08 13:05,54.317500,-115.114170,115.114170,,1.25,,33.7,,0.1,,0.013,L,0.005,,,,,,1.15,1.155,,,0.07,12.07,8.79,3.03,12.896,7.5,4.5,113.40,,,1.4,37.43,Boreal,Central Mixedwood,Eastern Alberta Plains
05SWE02194               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2005,12-Aug-05 18:00,53.533330,-117.800000,117.800000,,5.5,,1.3,,0.0096,,,,,,,,,,,,,,0.07,,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10453               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2006,24-Jul-06 15:45,53.533330,-117.800000,117.800000,,7,,1.27,,0.012,,,L,0.005,,,,,,0.28,0.285,,,0.12,21.70,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10578               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2006,14-Aug-06 13:30,53.533330,-117.800000,117.800000,,5,,1.42,,0.009,,,,0.005,,,,,,0.23,0.235,,,0.07,,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE10781               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2006,04-Sep-06 14:25,53.533330,-117.800000,117.800000,,5.5,,1.6,,0.017,,,L,0.005,,,,,,0.31,0.315,,,0.13,15.80,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
06SWE11150               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2006,27-Sep-06 15:00,53.533330,-117.800000,117.800000,,5.4,,2.42,,0.01,,,L,0.005,,,,,,0.23,0.235,,,0.09,10.76,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
07SWE02315               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2007,18-Jul-07 10:42,53.533330,-117.800000,117.800000,,7.25,,1.32,,0.013,,,,,,,,,,,,,,0.18,,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
07SWE02596               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2007,09-Aug-07 16:00,53.533330,-117.800000,117.800000,,6.75,,1.6,,0.014,,,,,,,,,,,,,,0.63,,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
07SWE10065               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2007,30-Aug-07 14:00,53.533330,-117.800000,117.800000,,5.25,,0.97,,0.014,,,,,,,,,,,,,,0.07,,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE08059               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2008,09-Jun-08 12:35,53.533330,-117.800000,117.800000,,2,,2.33,,0.011,,0.008,,0.013,,,,,,0.32,0.333,,,0.08,10.96,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09624               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2008,07-Jul-08 12:56,53.533330,-117.800000,117.800000,,5,,2.05,,0.013,,0.015,,0.031,,,,,,0.31,0.341,,,0.07,17.8,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09749               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2008,05-Aug-08 11:25,53.533330,-117.800000,117.800000,,6.25,,1.86,,0.008,,0.007,,0.013,,,,,,0.28,0.293,,,0.07,16.25,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09875               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2008,25-Aug-08 11:40,53.533330,-117.800000,117.800000,,5.5,,1.67,,0.006,,0.004,,0.005,,,,,,0.28,0.285,,,0.07,16.15,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
08SWE09993               ,AB07AC0020,GREGG LAKE - COMPOSITE (AB07AC0020),Lake,2008,16-Sep-08 12:10,53.533330,-117.800000,117.800000,,5.75,,1.45,,0.009,,0.005,,0.005,,,,,,0.27,0.275,,,0.09,12.36,13.69,1.34,5.32,18,,162.90,,<,1,121.57,Foothills,Lower Foothills,Southern Alberta Uplands
05SWE01502               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2005,28-Jun-05 15:30,56.444440,-111.097220,111.097220,,2.5,,5.1,,0.0221,,,,,,,,,,,,,,0.07,,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
05SWE01557               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2005,12-Jul-05 14:25,56.444440,-111.097220,111.097220,,2.25,,8.7,,0.0258,,,,,,,,,,,,,,0.07,,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
05SWE01888               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2005,28-Jul-05 08:45,56.444440,-111.097220,111.097220,,1.75,,14,,0.031,,,,,,,,,,,,,,0.07,,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
05SWE02065               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2005,08-Aug-05 16:53,56.444440,-111.097220,111.097220,,1.75,,18.6,,,,,,,,,,,,,,,,0.08,,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
05SWE02355               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2005,21-Aug-05 14:30,56.444440,-111.097220,111.097220,,2,,13,,,,,,,,,,,,,,,,0.07,,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
05SWE02849               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2005,05-Sep-05 13:15,56.444440,-111.097220,111.097220,,1.75,,13.1,,0.0343,,,,,,,,,,,,,,0.07,,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
06SWE08389               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2006,25-Jul-06 12:06,56.444440,-111.097220,111.097220,,1.25,,10.4,,0.033,,,L,0.005,,,,,,0.61,0.615,,,0.56,21.58,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
06SWE08639               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2006,11-Aug-06 11:55,56.444440,-111.097220,111.097220,,1.5,,10.9,,0.039,,,L,0.005,,,,,,1.04,1.045,,,0.09,19.05,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
06SWE08796               ,AB07CE0120,GREGOIRE LAKE - COMPOSITE (AB07CE0120),Lake,2006,29-Aug-06 09:23,56.444440,-111.097220,111.097220,,1.75,,8.64,,0.036,,,L,0.005,,,,,,0.58,0.585,,,0.14,17.59,30.45,25.80,100,7.2,3.9,232.00,27.3,,4,8.99,Boreal,Central Mixedwood,Saskatchewan Plains
